author,degree_centrality,betweenness_centrality
TannedCroissant,0.7999999999999999,0.746358543417367
elee0228,0.37142857142857144,0.16834733893557424
poopellar,0.2857142857142857,0.17464985994397758
Poem_for_your_sprog,0.22857142857142856,0.01890756302521008
-eDgAR-,0.19999999999999998,0.10322128851540617
Portarossa,0.11428571428571428,0.0
insertstalem3me,0.11428571428571428,0.0
Aminar14,0.08571428571428572,0.0
PM-Me-Your-TitsPlz,0.08571428571428572,0.0036414565826330533
DeathSpiral321,0.08571428571428572,0.05714285714285715
maleorderbride,0.05714285714285714,0.0
discerningpervert,0.05714285714285714,0.0
I_might_be_weasel,0.05714285714285714,0.0
CockDaddyKaren,0.05714285714285714,0.0
Zkenny13,0.05714285714285714,0.0
drlqnr,0.05714285714285714,0.0
Andromeda321,0.05714285714285714,0.0
XxsquirrelxX,0.02857142857142857,0.0
pjabrony,0.02857142857142857,0.0
Zedfourkay,0.02857142857142857,0.0
DarkNinjaPenguin,0.02857142857142857,0.0
AbsolXGuardian,0.02857142857142857,0.0
Sumit316,0.02857142857142857,0.0
DragoonDM,0.02857142857142857,0.0
newsensequeen,0.02857142857142857,0.0
Dahhhkness,0.02857142857142857,0.0
PoorCorrelation,0.02857142857142857,0.0
The1stmadman,0.02857142857142857,0.0
shroom2021,0.02857142857142857,0.0
unnaturalorder,0.02857142857142857,0.0
ThadisJones,0.02857142857142857,0.0
MrWeirdoFace,0.02857142857142857,0.0
Dutch_Midget,0.02857142857142857,0.0
obscureferences,0.02857142857142857,0.0
reddicyoulous,0.02857142857142857,0.0
beluuuuuuga,0.02857142857142857,0.0
